Song,Artist,Scene Description
Ah Mary,Grace Potter & The Nocturnals,Lucas and Peyton talk about sleeping in Karen's room; Haley runs into a woman who performs songs at the riverwalk.
When the Stars Go Blue,"Bethany Joy Lenz, Tyler Hilton",[Live cover version] Grace Potter sings to Haley and tells her she's a huge fan.
Pa' Bailar - Siempre Quiero Mas (feat. Julieta Venegas),"Bajofondo, Julieta Venegas","Haley and Nathan talk to Jamie about how to deal with a bully, Peyton and Lucas' bed problem."
Fascination Street,The Cure,Peyton and Lucas tease each other in the house.
Bethlehem,Hopewell,Chuck bullies Jamie; Nathan to the rescue.
Gypsy Queen,Kristin Diable,Sam talks to Brooke about people giving up on her.
Dreamer,Uh Huh Her,Peyton teases Lucas; Nathan and Haley tuck Jamie in for bed; Brooke surprises Sam in the car at school.
Standing Still,Buddahead,Nathan and Haley talking about being a hero/Brooke and Owen talking
I Want Something That I Want,Grace Potter & Bethany Joy Galeotti,"End of episode; Haley sings, Nathan dunks baskets."
Watch Out,Chris Cornell,"Opening, Slamball arena."
Let's Dance to Joy Division,The Wombats,"Milly, Mouth, and Gigi encounter an awkward meeting at the arena."
Simple Life,Carolina Liar,Peyton asks Lucas if he's thought about the movie deal. Brooke wonders what to do with the store.
The Last Post,Extreme Music,Peyton reunites with Derek at a U.S. Marine ceremony.
An Ordinary Life,The Temporary Thing,Peyton reunites with Derek at a U.S. Marine ceremony.; Mouth and Gigi talk at work; (repeats) Lucas meets up with Julian at TRIC.
When the World Stops Turning,Matt Pryor,Peyton and Derek walk through the cemetery.; Haley and Jamie visit Q's grave.
My Only Offer,Mates of State,Lucas visits Brooke at Clothes Over Bro's to talk about his novel becoming a movie.
Boys Will Be Out for a Fight,The Filthy Souls,Nathan tries to talk to Brooke for Owen.; Sam invites Jamie to a late night party.
Stop!,Against Me!,"Brooke, Owen, and Milly find Jamie at the party with Sam in Clothes Over Bro's."
Stay Down,Smoking Popes,Lucas signs the movie deal. Brooke talks to Jamie about Sam. Mouth talks to Gigi.
Sheets,Damien Jurado,End montage. Peyton shows up at Tric to meet Julian. Sam tries to scrub the stains out of Peyton's wedding dress. Brooke grounds Sam.
Can You Tell,Ra Ra Riot,Opening scenes: Brooke works on sketches for Peyton's wedding dress while explaining to Sam the conditions of her punishment.
You Got Growing Up to Do (feat. Patty Griffin),Joshua Radin,(Flashback) Peyton remembers how she met Julian.
It Is Best to Keep It All Inside,Johnathan Rice,Nathan and Jamie watch a news segment on him playing in the Slamball championships. (Flashback) Julian and Peyton meet up outside Lucas' book signing.
I Don’t Live In a Dream,Jackie Greene,Mouth goes to talk to Nathan at the rivercourt. Owen gets naked in the back of Brooke's car. Sam teaches Jamie about Economics.
Leaving You,Corey Crowder,Peyton and Julian break up. Brooke apologizes to Owen about leaving him stranded.
Can't Go Back Now,The Weepies,Lucas hits Dan's grave stone with a shovel
Love Song for a Schuba's Bartender,Margot & The Nuclear So and So's,Julian and Peyton talk about the reasons behind Julian doing the movie.; Haley has a talk with Jamie about handling money.
Ugly,Max Boogie Overdrive,Nathan faces off with an old basketball rival in Slamball.
An Ordinary Life,Juice Monkey,Nathan faces off with an old basketball rival in Slamball. Haley talks to Sam about being a good role model.
Soul Waver,Malika Ayane,Lucas finds a picture of Julian and Peyton in his apartment.
It Means Nothing - Decade In The Sun Version,Stereophonics,End montage.
Just Because,Earlimart,"Teaser. Opening montage, Sam makes breakfast for her and Brooke; Haley tells Nathan not to come to the concert."
Constantly,Molly Marlette,Lucas tells Nathan and Haley about Peyton's past with Julian. Nathan finds himself an imaginary friend in the form of Quentin.
Hello Vagina,Margot & The Nuclear So and So's,Milly tells Brooke that she's still a virgin.
World In Flight,Enation,Sam meets Derek backstage at the Marine base.
All The Things You Know,Blue Judy,Micro tells Millie there's nothing between Gigi and him. Nathan and Skills play videogames.
Feel This (feat. Enation),Bethany Joy Galeotti,Haley performs with Enation; Sam talks to Mia backstage; Nathan confides in Quentin. Peyton ignores Julian; Lucas asks Brooke about Peyton and Julian.
You Can't Break a Broken Heart,Kate Voegele,Mia performs. Derek and Haley talk about her career and family; Gigi apologizes to Mouth; Brooke meets Julian for the first time.
Suburban Bliss,Edith Backlund,Quentin tells Nathan he has a second chance. Julian confronts Lucas.
Secret Crowds,Angels & Airwaves,"At the USO concert, Brooke and Peyton talk about Sam's fear. Milly advises Gigi to stay away from Mouth. Brooke reassures Sam. Lucas tells Peyton he's not working with Julian."
Lifeline,Angels & Airwaves,"End montage; Brooke calls the adoption agency, Peyton talks to Lucas about doing the movie with Julian."
As Time Goes By,Herman Hupfeld,"Lucas is writing while watching ""Casablanca"", Peyton calls from the studio."
"Sing, Sing, Sing",Louis Prima,"Introdoucing Karen’s Cafe in Lucas’ dream, 1940s"
"Sing, Sing, Sing (With a Swing)",Benny Goodman and His Orchestra,"(Flashback) 1940's; Lucas mingles with Mouth, Brooke, and Nathan at Karen's Café. Haley and Dan have a hostile encounter backstage."
Brash Cash,APM Music,Lucas sips whiskey.; Mouth stumbles out and falls in the trash.
Karen's Cafe (From One Tree Hill),Bethany Joy Galeotti,"Haley sings for the audience. Nathan and Lucas talk about Haley. Dan, Peyton, and Julian walk in."
I Know,Meaghan Smith,Nathan talks to Haley after saving her from a rowdy bar customer.
Midnight Serenade,APM Music,"After Lucas says goodbye to Brooke, Skillz informs him that she didn't pay. Brooke decides to walk home."
Mrs. Scott (From One Tree Hill),Bethany Joy Galeotti,Haley and Nathan are in bed talking about kids.
Scheming Star (From One Tree Hill),Bethany Joy Galeotti,Nathan and Haley dance together
Smokey Joe's,APM Music,Brooke arrives at Dan's lair to fill him in on Peyton's whereabouts the previous night.
Unless,St. Lola in the Fields,Nathan and Haley sit at the park where Nathan confesses his true feelings for her.
Don't Say,St. Lola in the Fields,End montage; Peyton is shot; Haley sends Nathan off to the war. Back to reality.
The Lucky Ones,Patrick Park,Opening.
Happy Twist,Elisabeth Yndestad,Lucas meets with Julian at the diner. Jamie helps Nathan find sneakers.
Don't You (Forget About Me) [Remastered],Simple Minds,"Brooke dances in the store, Julian walks in."
Anthem,Born In The Flood,Montage of Nathan at the try-outs.
First Noel,Jackson Brundage,Jamie practices the song for his talent show with Haley.
Cha Cha (Be My New BF),Spider Problem,Mouth goes to Gigi's going away party.
(Get Off Your) High Horse Lady,Oasis,Brooke tells Julian that she doesn't trust him. Peyton and Mia argue about her new album.
A Falling Through,Ray LaMontagne,Lucas talks to Dixon during his massage. Peyton gets the phone call she's been waiting for. Sam comes clean to Brooke.
What Have We Got to Lose?,Aron Wright,Brooke goes to TRIC looking for Sam. Millie finds the photo of Gigi on Mouth's phone.
Devil In Me,Kate Voegele,End montage.
Neon Sky,Starsailor,Teaser. Opening montage.
Hawaii,Meiko,Peyton meets Mia at TRIC. Jamie tells Andre that he'll take him to the cemetery. Skillz talks to Millicent about Mouth.
Paper Kite,Damien Jurado,Brooke and Peyton talk in the car while looking for Sam. Sam and Jack try to escape from his brother.
Into Your Soft Heart,Everest,Julian asks Brooke for an update on Sam's disappearance. Lucas talks to Julian's dad. Jamie and Andre go to the cemetery. Nathan's new teammates taunt him.
I Don't Feel It Anymore (Song Of The Sparrow),William Fitzsimmons,Millie confesses to Mouth.
My Backwards Walk,Frightened Rabbit,Mrs. Fields finds Jamie and Andre at the cemetery. Chase returns.
Been a Long Day,Rosi Golan,"End montage; after X is arrested, Brooke and Sam leave Jack's house. A police officer finds Quentin Field's wallet."
Sincerely Hope It's You,Edith Backlund,Teaser. Opening montage.
Perfect Games,The Broken West,Mia meets up with Chase. Lucas loses his watch to Jamie.
Manhattan from the Sky,Kate Voegele,Mia plays her new song for Haley.
Miss,Tim Hanauer,"Sam asks Julian about liking Brooke, before spilling the beans about Peyton's pregnancy."
Can't You Hear Me Growl,Bosshouse,Nathan and Chase are called on to do karaoke.
Frankenstein's Niece B,APM Music,Jamie and Andre play with Lucas.
Tell Me Something,APM Music,Milly arrives drunk at Mouth's apartment.
In Debt to the Heart,Born In The Flood,Julian looks at Brooke's design for the movie. Jack talks to Sam about social services.
Greatest Love of All,"Cullen Moss, Vaughn Wilson",Junk and Fergie do karaoke at TRIC. Nathan and Chase talk about women.
Behind Your Eyes,Jon Foreman,Lucas brings Peyton ice-cream for Peyton. Brooke and Julian talk about their parents.
Dear You,Josh Auer,Mia and Chase end their date with a kiss. Julian and Brooke end their night together.
Hazy (feat. William Fitzsimmons),Rosi Golan,End montage.
The Nature Of Reality,Oasis,Basketball game.
Spiralling,Keane,Brooke and Julian on Brooke's couch kissing.
Destiny,Minnutes,Hotel bar.
Stuck In the Backseat,The Noises 10,Nathan and Haley talk next to the piano. Brooke gives Julian a High School jacket as a present
When the World Ends,The Bittersweets,The Scott house; Clothes Over Bros.
Manhattan from the Sky,Kate Voegele,Mia sings to Chase after making out; Brooke works on costumes.
More to Luv,Minnutes,Lucas's house; Nathan's house; Clothes Over Bros.
Ulysses (Live),Franz Ferdinand,"Nathan gets put into the game.
Chiefs win the game."
Jazz Magic,"Carlin, APM Music",At the hotel bar.
Once When I Was Little,James Morrison,"End montage, Lucas gives Peyton Keith's ring; Julian gives Brooke his letterman jacket."
What's so Bad (About Feeling Good)?,Ben Lee,Opening montage.
Let You Down,Tin Star Orphans,"Jamie tells Dan about Lauren's acceptance of their ""date"". Mia shows up at TRIC; Brooke meets her character."
Snow Globe,Mezzanine Owls,Peyton Sawyer's audition for the movie.
Let's See What Happens,the breakups,"At TRIC, Brooke and her character talk to Julian. In class, Sam reads her paper."
Man Made Lake,Calexico,Haley talks to Sam at a cafe. Nathan talks to Devon in the lockerroom.
So Please,Starlume,"Lucas talks to Haley about his ""diva moment""."
Natural Disaster,Andrew Bird,Dan and Jamie talk out on the porch. Brooke gets in her car to find her character for the movie naked.
You Found Me,The Fray,End montage.
Sea Song,Lisa Hannigan,Opening montage.
One of Those Days,Joshua Radin,Deb and Jamie prepare for dinner when Dan walks in.
After Afterall,William Fitzsimmons,Lucas and Peyton decide to continue with the pregnancy; the baby kicks for the first time.
Are You Lightning,Nada Surf,Haley tells Nathan about getting fired from Tree Hill High.
Lost Forever,The Guggenheim Grotto,Brooke and Julian look at a Hollywood dating site that lists Brooke's past relationships.
A Piece for You,Meaghan Smith,Brooke can't tell Julian that she's in love with him.
Save a Place,1969,"End montage; Jamie tells Dan about the pager, Haley and Nathan talking; Millie drives; Mouth puts Millie's glasses away."
Manhattan from the Sky,Kate Voegele,"Beginning of episode, animated clip, Dan goes to the hospital. Mia records in the studio."
Devil's Got My Soul,Gone City,"Skillz coaches Jamie and Andre's basketball team, the Tree Hill Crows."
Le Fantasy,Minnutes,Skillz gives the Crows a pep-talk after losing a game.
Love Is the End,Keane,"Lucas, Peyton, and Jamie talk at the cemetery. Dan gives up on God."
On My Own,The Trigger Code,Julian informs Lucas that production is officially shut down; the record label tells Mia they don't like her song; Jamie plays the Sims 3; Deb breaks up with Skillz.
Easy to Love,Sons of William,(0:20) Dan asks Deb if he can take Jamie to say goodbye.
Stinger,Razorlight,Julian tells Sam the truth about why Brooke is avoiding him. Jamie finds out that Dan killed Keith.
Glass,Gavin DeGraw,Julian tells Brooke goodbye.
Little Tornado,Aimee Mann,"Lucas and Nathan talking at the river court, Dan leaves, Brooke apologizes to Sam and brings Jack home"
Never Say Never,The Fray,(0:37) End montage; Haley goes to the studio; Sam hugs Jack; Dan goes to say goodbye to Nathan and Lucas.
After Afterall,William Fitzsimmons,Add scene description
Thinking of You,Pete Yorn,Opening montage; Skills tells Mouth he is taking him on a road trip. Lucas and Nathan are at the River Court with Jamie.
Today's Another Nation,The Red West,"Mouth and Skills go to Gigi´s college for party, Haley find all her students in her home."
I Don't Care - Single Version,Fall Out Boy,Mouth and Skills turn up to a party at Gigi's college.
Underneath My Skin,Stella Project,Mouth plays Beer pong with Gigi and sees Millie
4321,Manafest,Gigi dances with a guy and Mouth imagines that its Millicent.
Found,Phillip LaRue,Lucas and Jamie talk about uncle Keith in his old workshop.
Where Love Went Wrong,Augustana,Julian tells Sam about LA. Haley talks to Peyton at the studio.
Harley Sunday,Kate York,Haley picks up her stuff from school and tells the new principal she wouldn't teach again. Nathan and Lucas talk while Jamie sleeps. Millie finds Mouth waiting for her.
Save You,Matthew Perryman Jones,Brooke says goodbye to Julian in the airport.
I Came Around,Amie Miriello,"Opening montage; Victoria wakes Brooke, Nathan at practice; Skills and Lucas play basketball."
Angel,Kate Voegele,"Mouth surprises Millie with Broadway tickets. On the phone, Peyton talks to Mia about her song that's on the radio; (repeats) End montage."
Killer B,Low vs Diamond,Nathan and Nino face off in the gym.
Bonfire,Spacebar,Sam and Jack talk about their fears of Victoria and foster families; Victoria comes to find Brooke.
My Favorite Song,Skyler Stonestreet,"Millie and Mouth walk through Central Park, New York."
I Can Feel a Hot One,Manchester Orchestra,"Haley visits Peyton and Brooke. Sam argues with Brooke. At the rivercourt, Skillz and Nathan work with Jamie's team."
The Look,Color Of Clouds,Jack and Sam talk about vacationing; Victoria and Sam face off.
As Much As You Lead,Lex Land,Mouth leaves New York. Jack's foster family meets Sam.
Cartoons and Forever Plans (feat. Michael Stipe),Maria Taylor,"Opening, Peyton complains to Lucas about being stuck on bed rest."
99 Times,Kate Voegele,Mia records at the studio; Victoria and Sam talk in Brooke´s store.
On the Wing,Owl City,Jamie wants to ask Madison to the dance. Lucas works on the Comet.
Black Hole,The Aeroplanes,(Flashback) Lucas gives Peyton tickets to The Cure. Nathan talks to Bobby about the European offer.
Never Get Enough,Honeypie,Sam explains to Victoria about her history as a shoplifter. Chuck asks Madison to the dance behind Jamie's back.
Our Own Time,Joey Degraw,"(Flashback) Peyton tries to read a map, and she ""thuds"" Lucas."
Make Things Right,Sara Rumar,Sam talks to Victoria about Brooke and Julian at the clothing store where Victoria sets the owner straight.
A Lack of Armor,Jesse Ruben,"(Flashback) On the way to the Cure concert, Lucas tries to fix the Comet's flat tire."
Turn Me Loose,Loverboy,Skills and Jamie go to the school dance.
SHAKE iT,John John,Jamie watches Chuck and Madison talk at the dance; Skillz enjoys the punch.
Iron Man,Nico Vega,"Nathan and Devon talk in the locker room.
Brooke discovers Sam's birthmother's letters."
On Our Way,Scott Cresswell,"(Flashback) Peyton and Lucas eat pie. Lucas drops his The Cure ticket. (Present) At the dance, Jamie dares Skills to prove he's not scared to approach Lauren."
All Broken Hearts,Tyrone Wells,Brooke gives Sam a letter from her birthmother. Chase apologises. Jamie at his first school dance.
Anyone Night Stand,The Sleeping,Mia confronts Chase about Brooke. Brooke confronts Victoria about the letters.
All In My Head (Radio Mix),Nick Lachey,Nick sings Haley's song. Nathan talks to Bobby on the phone; Skills approaches Lauren.
Pictures of You,The Cure,End montage.
Lift Me Up,Kate Voegele,Peyton records a video for her baby's time capsule.
Amelia,Matthew Perryman Jones,Brooke and Peyton get ready for her baby shower.
Angel,Mark Geary,Nathan and Lucas talk in the garage.
Everything I Want,Matt Pelham,Skillz and Lauren take Chuck to Jungle Rapis; The Chief basketball game.
She Is Love,Parachute,"Lucas and Jamie look at Peyton's time capsule for the baby. At Peyton's baby shower, Haley gives her a Baby Memory Book."
Foreign Room,Telekinesis,Lauren and Skills talk about their past relationships. Chuck throws up on Skills' shoe.
I Don't Know,Shelly Fraley,Chuck interrupts Lauren and Skill's kiss. Brooke suggests that Sam should go live her birth mother.
Long Time Nothing New,Pete Yorn,End montage; Nathan goes to sleep; Lucas and Peyton talk about getting married
Like You Do,Angel Taylor,"Opening, Haley and Lucas talk about Haley marrying him and Peyton."
Innocent,Aidan Hawken,Lucas gets a tux; Nathan and Haley kiss.
Broken Voices,ari hest,Haley and Nathan standing on the bridge talking about basketball.
Can’t Help Falling In Love (Live At Daytrotter),Ingrid Michaelson,Haley gives a speech about Lucas and Peyton's history. The couple exchanges rings and vows.
All In My Head (Radio Mix),Nick Lachey,"Nick Lachey records at TRIC. After Brooke discovers Julian asked Missy to the wedding, Brooke asks Nick to the wedding."
Bridal Chorus - Wagner,"Richard Wagner, Various Artists",Add scene description
99 Times,Kate Voegele,First song Mia plays at the wedding.
I Can't Fix Us Two,Katie Costello,Mouth and Nathan talk; Lucas and Peyton talk at the reception.
Sweet Silver Lining,Kate Voegele,Peyton and Lucas' first dance
Rains Here Too,Kate York,Nick and Brooke talk; Brooke and Julian dance.
Wedding Dress,Matt Nathanson,"Haley and Nathan look over Jamie, Lucas finds Peyton unconscious in the bedroom; He rushes her to the hospital."
War Sweater,Wakey!Wakey!,Opening montage; Peyton is in surgery.
Safe At Home,Starsailor,"Lucas talks to Peyton; Julian gives Brooke support. While talking to chase, Mia receives her new record."
Murderous Air,Tim Williams,"Lucas talks to Peyton, and she wakes up then Brooke walks in. Karen brings Sawyer."
Come Around,Rosi Golan,"Brooke and Julian say goodbye. In the nursery, Peyton holds Sawyer and talks to Karen."
Roll Your Windows Down,Casey Shea,Karen and Lucas sit on the steps and talk. Nathan tells Haley he's in the NBA; Brooke and Victoria talk in the store.
Days Like This,Kim Taylor,Dan and Whitey talk; Brooke calls Sam. Jamie and Mouth find out Nathan made it to the NBA. Karen and Lucas visit Keith's grave.
Inside Out,Kate Voegele,Chase and Mia talk about Mia's record and the tour. Brooke tells Millie to stay in Tree Hill.
Hallelujah,Gin Wigmore,Dan holds Sawyer; he bumps into Lucas and Karen. Lucas brings back the Comet fixed from the accident.
Begin You,Kate York,Brooke visits Peyton and Sawyer; Peyton tells Brooke that she and Lucas have agreed to give Sawyer the middle name of Brooke in her honour. Brooke and Victoria talk in the store.
Can't You See,The Marshall Tucker Band,End scenes.
Quicksand,Everly,Opening montage.
Out Of Reach,Matthew Perryman Jones,"Nathan tells Jamie goodnight, he turns on TV/ Views of Quinn in bed, crying/ and Clay in bed, then on the back porch/ Brooke and Julian talking/ Dan on TV/ Clay and Nathan meet, new secret out."
Belated Promise Ring,Iron & Wine,Brooke and Julian riding in the limo to the movie premiere.
Chasing the Daylight,Phillip LaRue,Jamie opening gifts at his birthday party.
Devil May Dance,AJ Roach,Add scene description
Heart,Annie Stela,Jamie and Nathan playing 'Horse' / 'Lucas; Clay making a call; Brooke and Julian on beach post skinny dipping/ Quinn  looking at the Scott Family photos
Hollow Notes,Novi Split,Julian tells Brooke about his next assignment - in New Zealand - on the beach around a night-time bonfire.
"Love Like a Sunset, Pt. 2",Phoenix,Add scene description
Rock.Paper.Scissors,The Parlotones,Add scene description
That Look You Give That Guy,Eels,Guests at party play football; Julian and Brooke walk on the beach.
Soldier On,The Temper Trap,Haley and Quinn talk about Quinn's ex-husband
You Wait for Rain,Kyler England,Big record label tells Haley her boss won't shut Red Bedroom Labels down. Brooke talks to Julian's dad about how he should be a better father. Haley talks to Quinn in the pool.
Wonder,Jack Savoretti,Julian´s dad saying goodbye and leaves.Nathan is shown a ultrasound photo of a baby. He could be the father.
She's A Genius,Jet,"Skills, Jamie and Lauren go to the beach."
Back Against the Wall,Cage the Elephant,"Julian is talking to his dad,Paul. Paul tells Julian he is making the wrong choice to not produce the movie."
Not a Love Song,Uh Huh Her,Alex Dupree arrives in Tree Hill and meets Millie in the limo; Nathan and Clay run into Quinn on the beach.
Doorway,Io Echo,Add scene description
Black Champagne,Starlight Mints,Add scene description
Autumn Eyes,Tin Star Orphans,Add scene description
Hands,Blu Sanders,Brooke accepts Alex as the face of her new clothing line; Julian tells Brooke his story about the thin red line poster.
Growing Old Is Getting Old,Silversun Pickups,Alex gives Julian a script. Clay says to Renee that him and Nathan aren't gonna pay her. Nathan talks to Haley and goes to talk to Jamie about the theme.
Stilts,Tim Williams,Haley looks at the sonogram and party photos.; Brooke heads to work.; Skillz gets a surprise in his shower.; Millie wakes Alex up for her photo shoot with Clothes Over Bro's.
Hey Na Na,Katie Herzig,alex arrives hung over to the clothes over bros photo shoot
Showdown,Black Eyed Peas,During the photo shoot.
Hollow Talk,Choir of Young Believers,"Scene: Haley talks to Nathan about the photos taken at Clay's party.; A Scott Free Redemption audience member calls Dan a ""murder"" during his show."
Ozone Street,Tim Williams,Add scene description
Born In the Spring,Stephen Kellogg & The Sixers,Add scene description
Mom,Lucero,Haley and Clay talking on the rock. / Dan and Rachel Flashback in hotel.
Last Confession,Sorta,Add scene description
Welcome Home,Radical Face,When Dan admits to the murder he committed and brings Rachel out on stage. (15 or 16 minutes in)
Drifters,Zaac Pick,Add scene description
Let It Out,Crash Boom Bang,Add scene description
Love's Lost Guarantee,Rogue Wave,Nathan and Clay talk about Nathan´s worries about t the consequences that may come after not paying Renée. Brooke and Julian talk about Alex´s talent. Millie is surprised that Alex is awake and sober.
Sometimes - US Album Version,Noisettes,Nathan finds Jamie in bed with a picture of Nate and Haley together. Julian tells Brooke he's going to work with Alex on her script. Quinn tells David to let go of her and go home. Haley slaps Renee.
Never Forget You,Noisettes,Performed after the fashion show. Haley & Miranda talk; Mouth gives his sports cast
Don't Upset the Rhythm (Go Baby Go),Noisettes,Perform during the fashion show
Goodnight and God Bless,Robin Foster,Add scene description
Sunshine Coolin',The Asteroids Galaxy Tour,Add scene description
Daily Turn,Beat Corp,Add scene description
Whatever It Takes,Tracy Shedd,Add scene description
Blood Oranges,Foreign Born,Add scene description
Come Back When You Can,Barcelona,Quinn talks to David on the bench by the water
Help I'm Alive,Metric,"Chase brings Millie flowers from Mouth, Victoria meets Alex"
Rain At Your Door,The Aeroplanes,Add scene description
Houses,Great Northern,"Opening, Haley hits the lying girl in the face; Clay feeds Quinn breakfast."
Deeper Side of You,Phillip LaRue,Nathan and Haley hold the press conference; Haley finds Jamie’s toy police car in the trash.
Hey Darlin' Do You Gamble?,Lucero,Haley is at the piano and Quinn comes to talk to her; Nathan meets David at Tric.
Never Know,The Wooden Birds,Add scene description
Burn My Eyes,Simon Kelly,Add scene description
Bent,BandB,Add scene description
Seeds of Night,The Cave Singers,Brooke shows Mouth pictures of Millie from the fashion show; Haley talks to the woman in the jail cell.
Momma's Boy,Elizabeth & The Catapult,Add scene description
How Could I Lose,James Yuill,Hayley is arrested; Clay and Quinn eat breakfast and chat.
I Want You So Bad I Can't Breathe,OK Go,"Beginning, Nathan works in a commercial with an actress; Julian and Brooke in bed."
Love Lost,The Temper Trap,Millie wakes up in Alex’s hotel room; Hayley confronts Nathan about Renee’s phone number in his old phone bills
To Build a Home (feat. Patrick Watson),The Cinematic Orchestra,Clay confronts an old flame (Sarah). Mouth reports on Nathan allegations.
All Time Low,Stacy Clark,Quinn finds Clay walking on the beach and offers to talk.
Plans & Reveries,Black Gold,Add scene description
Worry About It Later,Brakes,Julian’s walks in on Brooke taking Chase’s measurements at Clothes Over Bro’s.
Don't Hold Your Breath,Athlete,Add scene description
Leaving It,Novi Split,"Mouth assures Millie she's a model,"
First Chance,David Gray,Rachel talks to Dan backstage at their show; Clay talks to a girl at Tric.
Everyman,The Guggenheim Grotto,Add scene description
The Longing,Eels,Add scene description
Never Go Too Far,Oh Darling,Mouth tells his boss he wants back on the air; Quinn and Nathan argue.
Feather In the Wind,Susie Suh,"Renée accept to be on Dan´s tv-show, Haley decided to not pay Renée and Nathan tells her she´s his dream and he never would cheat on her, Millie sneaks up at night and takes diet pills,End of episode"
Cheek Petit,The Clarke & Ware Experiment,Add scene description
I And Love And You,The Avett Brothers,The end of the episode
I Won't,Colbie Caillat,"Clay calls Nathan, Quinn goes to find Haley and Nathan and When Quinn flashes back to David installing the screening room and finds his blank grant paperwork."
Angel Flying Too Close to the Ground,Willie Nelson,Clay and sara talk and Sara dying
Menace,Bjorn Baillie,Starting scene with Dan and his wife at their show.
While We Have The Chance (ft. Peter Bradley Adams) ,Rosi Golan,Add scene description
Manic Boogie,The Shake,Add scene description
Belle of the Boulevard,Dashboard Confessional,Clay and his (ex) wife jump off a bridge holding hands.
Buried Treasure,Grant Lee Phillips,"Flashbacks Quinn with David, Clay with Sarah. Brooke questions Julian about why he still works with Alex."
Whose Side Are You On?,Doubting Paris,Add scene description
Inside These Lines,Trent Dabbs,"Qinn comes to Clay´s house, he tells her to go- then he stops her car. He tells her about his dead wife."
Feels Like the End,Shane Alexander,Dan and Rachel talk about his heart condition after he collapsed on the show; Clay talks to dead Sara about her death.
Moving In Stereo,The Cars,Add scene description
Black Swan Song,Athlete,Clay tells Quinn about Sarah.
Pass The Dutchie,Musical Youth,Quinn and Brooke give Haley some special brownies.
Break Me Down,Ryan Calhoun,Rachel and Dan talk.
So He Won't Break,The Black Keys,Add scene description
You Got Some Nerve,The Spies,Add scene description
Silvia,Miike Snow,Opening scene
Will You Be By Me?,Wallpaper Airplanes,Dan comes to visit Nathan. Nathan slams the door
Asleep on the Lawn,The Hampdens,Clay plays ball with a kid at the park; dan shows up at Nathan’s door
Listen,An Horse,Brooke finds out she isn't pregnant.
Ballad of a Broken Heart,Jesse Glick,"Quinn and Clay in the dark room, processing photos. Julian on the phone with Alex. Haley waiting to perform at Tric."
Maybe,Everly,Haley sings at Tric during her free concert.
Kathleen,David Gray,Nathan tells Dan he is dead to him at Tric
A New Beginning,Endochine,"At the end; Clay & Quinn on the beach, Alex dumps the cocaine down the sink"
Will You Be By Me?,Wallpaper Airplanes,Add scene description
Left To Dry,Shaimus,Add scene description
Have a Nice Day,Megha Maan,Add scene description
The 40th Century,The Hereafter,Add scene description
Letters from the Sky,Civil Twilight,Beginning.
Baby I Need You,Kim Taylor,Brooke comes home to roses; Her and Julian talk about getting pregnant in the future.
Down,Jason Walker,Julian apologizes to Brooke; Millie raids Alex's closet; Nathan ignores Clay.
Hotblack,Oceanship,End montage; Dan at lockers; Haley tells Quinn she’s lost; Millie and Alex pulled over; Clay and Nate at the Rivercourt.
Let Loose the Horses,The Rescues,Add scene description
Stranger Keeper,The Rescues,"3 am. Millie goes through her clothes, Quinn and Haley argue."
False River,A.A. Bondy,Add scene description
Where Do We Go?,Bear Lake,Mouth comes home to find Millie in the bathroom with another model; He confronts Millie.
Gravitate,Lou Barlow,Dan talks to Mouth in a diner.
Too Many Pills,Ryan McAllister,Add scene description
Electrical One,Quinn Marston,Add scene description
Sweet Disposition,The Temper Trap,"At the beginning, Clay is dressing up to meet a client. Nathan tells Haley that he has an offer from the agency. Julian tells Brooke that he doesn't need children to be happy with her."
Jump For It,Jesse Johnson,"Jamie is watching ""White Men Can't Jump"" while Skills talks about the video he has to make to get the job with Sport Arc"
Maybe,Everly,Haley talks about the Barcelona offer to Miranda and tells her that she would want to record and finish her album there. Miranda say that Hayley has to go on tour the next week.
Odds of Being Alone,"Amy Stroup, Trent Dabbs",Mouth talks to Millie while she sleeps. Alex apologizes to Julian and he tells her about Brooke's problem.
Burn It Down,Color Of Clouds,Clay lost his last chance to fix his carreer. Brooke finds out that Julian told Alex about not having kids.
Gotta Give It to 'Em,Lexicon,Jamie and Chuck arrived to the Rivercourt to film Skills' video.
Stars,Barcelona,Haley asks  Quinn to help her decide what to do about the tour. Makenna tells Millie to steal the red dress from the fashion show so she can get the cocaine.
Hair of the Dog,Nazareth,Jamie and Chuck win the basketball game during Skills' video.
Trace of You,Peter Bradley Adams,Jamie finds out that Skills' new job is in L.A. Nathan shows Haley a map of the trip they'll make on tour with Jamie. Brooke tells Victoria she can't have kids. Skills talks to Jamie about moving.
Good Times,Susie Suh,"Clay breaks up with Quinn and say he's moving out. Jimmy Edward's mother goes to see Dan at the high school. Millie talks to Victoria, Julian confronts Alex about going to see Brooke."
Mother,Jack Savoretti,Add scene description
Your Love Is a Song,Switchfoot,"At the end, Quinn visits Clay's assistant, Nathan and Haley talk about long distance, Dan and Rachel discuss the show and money, Skills and Mouth discuss Millie and L.A."
Blue Skies,Noah & The Whale,"Beginning of the episode, Clay throws his phone in the pool, Alex is bleeding out. Dan is about to go on air at the high school. Jamie do a corrida dance and says he doesn't want to go to Spain"
